site_name,askeladden_id,rcarb_cor,context,material,lab_code,c14_bp,error,delta_c13
Krøgenesåsen 1,159967,f,Fireplace (ID 1103),Willow (Salix),Ua-55175,1756,27,-26.3
Krøgenesåsen 1,159967,f,Fireplace (ID 1103),Aspen/willow (Populus/Salix),Ua-55176,1779,28,-26.6
Krøgenesåsen 1,159967,f,Fireplace (ID 1103),"Alder/hazel (Alnus/Corylus), nutshell",Ua-55178,1853,28,-28
Krøgenesåsen 1,159967,f,Fireplace (ID 1103),Alder/hazel (Alnus/Corylus),Ua-55179,1800,28,-26.4
Krøgenesåsen 1,159967,f,Fireplace (ID 1103),Aspen (Populus),Ua-55177,1830,28,-26.4
Dybdalshei 1,108338,t,Cooking pit (ID 501),Willow (Salix),Ua-53022,8566,36,-28.1
Dybdalshei 1,108338,t,Cooking pit (ID 519),Pomoideae (Malinae),Ua-53023,8462,36,-25.8
Dybdalshei 1,108338,t,Cooking pit (ID 545),Pomoideae (Malinae),Ua-53027,8422,36,-27.1
Dybdalshei 1,108338,t,Cooking pit (ID 556),Pomoideae (Malinae),Ua-53028,8199,35,-26.2
Dybdalshei 1,108338,t,Cooking pit (ID 566),Birch (Betula),Ua-53029,6202,32,-25.6
Dybdalshei 1,108338,t,Cooking pit (ID 537),Alder (Alnus),Ua-53026,6150,32,-27.3
Dybdalshei 1,108338,t,Cooking pit (ID 531),Aspen (Populus),Ua-53025,5310,31,-25.7
Dybdalshei 1,108338,t,Cooking pit (ID 526),Oak (Quercus),Ua-53024,5262,31,-26.3
Dybdalshei 2,108339,t,Cooking pit (ID 650),Pine (Pinus),Ua-53030,3868,30,-26.3
Sagene B2,171070,f,Tree throw (ID 503080),"Deciduous (Decid, indet.)",Ua-52870,4946,29,
Sagene B2,171070,f,Cooking pit (ID 500001),Pine (Pinus),Beta-411673,2640,30,
Sagene B2,171070,f,Cooking pit (ID 500001),Birch (Betula),Beta-411674,2460,30,
Sagene B2,171070,f,Tree throw (ID 503080),"Coniferous (Conif. indet.), cone",Ua-52924,1305,51,
