name,ask_id,museum_id,municipality,investigated,radiocarbon,rcarb_cor,multiphase,reference
Krøgenesåsen 1,159967,C60371,Arendal,t,t,f,f,Nielsen 2017
Krøgenesåsen 2,159968,C60372,Arendal,t,f,,f,Nielsen 2017
Øytangen,108467,C57694,Arendal,t,f,,f,Berge & Loftsgarden 2012
Marisberg,112382,C59093,Arendal,t,f,,f,Mansrud & Carrasco 2018
Dybdalshei 1,108338,C60097,Arendal,t,t,t,t,Granum & Schülke 2018
Dybdalshei 2,108339,C60098,Arendal,t,t,t,f,Granum & Schülke 2018
Dybdalshei 4,108341,C60099,Arendal,t,f,,f,Granum & Schülke 2018
Sagene B2,171070,C59675,Arendal,t,t,f,f,Darmark 2018
Sagene B4,171073,C59677,Arendal,t,f,,f,Darmark 2018b
Sagene B6,176196,C59679,Arendal,t,t,f,f,Darmark 2018b
Sagene B1,161300,C59674,Arendal,t,t,f,f,Viken 2018
Kvastad A9,172657,C59673,Arendal,t,t,f,f,Darmark 2018c
Kvastad A1,172344,C59665,Arendal,t,t,t,f,Stokke et al. 2018
Kvastad A4,172345,C59668,Arendal,t,t,f,f,Darmark et al. 2018
Kvastad A5-6,"17666, 17667",C59669,Arendal,t,f,,f,Viken 2018b
Hesthag C4,170190,C59685,Arendal,t,t,t,f,Viken 2018c
Hesthag C2,170172,C59683,Arendal,t,t,t,t,Viken 2018d
Krøgenes D2,159966,"C59689, C60093",Arendal,t,t,t,f,Mansrud et al. 2018
Krøgenes D7,159965,C59694,Arendal,t,f,,f,Stokke & Reitan 2018
Krøgenes D10,161275,C59697,Arendal,t,f,,f,Stokke & Reitan 2018
Krøgenes D1,160617,C59688,Arendal,t,t,t,t,Reitan & Solberg 2018
Krøgenes D5,159969,C59692,Arendal,t,f,,f,Reitan & Solberg 2018b
Mørland D11,172500,C59698,Arendal,t,f,,f,Darmark 2018d
Kvastad A2,172664,C59666,Arendal,t,t,t,t,Stokke & Reitan 2018b
Hovland 5,150578,C58448,Larvik,t,t,t,f,Mansrud & Koxvold 2013
Hovland 2,120470,C58327,Larvik,t,f,,f,Koxvold 2013
Nordby 1 (Bommestad-Sky),119409,C57991,Larvik,t,t,f,f,Færø Olsen 2013
Nordby 2 (Bommestad-Sky),119410,C57993,Larvik,t,t,f,t,Koxvold 2013b
Hovland 4,119407,C58328,Larvik,t,t,t,f,Mansrud 2013
Hovland 1,119401,C57992,Larvik,t,t,t,f,Færø Olsen 2013b
Hovland 3,119408,C58236,Larvik,t,t,t,f,Solheim & Færø Olsen 2013
Torstvet,119404,C57995,Larvik,t,t,t,f,Mansrud 2013b
Nedre Hobekk 2,115976,C58367,Larvik,t,t,f,t,Eigeland 2014
Solum 1,116021,C58369,Larvik,t,f,,f,Fossum 2014
Nedre Hobekk 1,115978,C58366,Larvik,t,f,,f,Eigeland 2014b
Nedre Hobekk 3,115977,C58368,Larvik,t,f,,f,Fossum 2014b
Sundsaasen 1,136590,C58011,Porsgrunn,t,f,,f,Eggen 2014
Gunnarsrød 7,"136600, 136602",C58007,Porsgrunn,t,t,f,f,Fossum 2014c
Prestemoen 1,136598,C58364,Porsgrunn,t,t,t,f,Persson 2014
Gunnarsrød 8,136589,C58364,Porsgrunn,t,f,,f,Fossum 2014d
Langangen Vestgård 1,128960,C57601,Porsgrunn,t,t,t,f,Melvold & Eigeland 2014
Gunnarsrød 6a,128961,C58006,Porsgrunn,t,t,f,f,Carrasco et al. 2014
Gunnarsrød 6b,128964,C58006,Porsgrunn,t,t,f,f,Carrasco et al. 2014
Gunnarsrød 10,52038,C58010,Porsgrunn,t,t,f,f,Reitan & Fossum 2014
Vallermyrene 4a,150594,C58010,Porsgrunn,t,t,t,f,Eigeland & Fossum 2014
Vallermyrene 4b,150614,C58010,Porsgrunn,t,t,t,f,Eigeland & Fossum 2014
Vallermyrene 1a,136595,C58361,Porsgrunn,t,t,t,f,Reitan 2014
Vallermyrene 1b,136595,C58361,Porsgrunn,t,t,t,f,Reitan 2014
Langangen Vestgård 3,136594,C57603,Porsgrunn,t,t,t,f,Eggen 2014b
Sundsaasen 2,"136599, 136604",C58012,Porsgrunn,t,f,,f,Melvold & Persson 2014
Langangen Vestgård 5,136588,C58012,Porsgrunn,t,t,t,t,Reitan 2014b
Langangen Vestgård 6,136597,C57606,Porsgrunn,t,t,t,f,Reitan 2014c
Gunnarsrød 5,"128956, 128959",C58005,Porsgrunn,t,t,t,t,Reitan 2014d
Solum 2,116019,C58370,Larvik,t,f,,f,Fossum 2014e
Solum 3,116144,C58371,Larvik,t,t,t,f,Fossum 2014e
Vallermyrene 2,136591,C58362,Porsgrunn,t,t,t,t,Reitan 2014e
Gunnarsrød 3,128954,C58003,Porsgrunn,t,f,,f,Reitan 2014f
Gunnarsrød 2,128953,C58002,Porsgrunn,t,f,,f,Reitan & Fossum 2014b
Langangen Vestgård 2,"136601, 136605",C57602,Porsgrunn,t,f,,f,Eggen 2014c
Langangen Vestgård 4,136593,C57604,Porsgrunn,t,f,,f,Reitan 2014g
Vallermyrene 3,128952,C58363,Porsgrunn,t,f,,f,Reitan 2014h
Langangen Vestgård 7,172899,C57607,Porsgrunn,t,t,t,f,Reitan 2014i
Gunnarsrød 4,"128962, 128957",C58004,Porsgrunn,t,t,t,f,Reitan 2014j
Prestemoen 2,109934,C58365,Porsgrunn,t,f,,f,Persson 2014b
Tinderholt 3,138151,C59985,Bamble,t,f,,f,Koxvold 2017
Tinderholt 2,146871,C59984,Bamble,t,f,,f,Koxvold 2017b
Dørdal,146146,C59987,Bamble,t,t,f,f,Solheim et al. 2017
Tinderholt 1,145410,C59983,Bamble,t,f,,f,Koxvold 2017c
Skeid,145173,C59986,Bamble,t,f,,f,Nielsen & Solheim 2017
Hydal 3,138175,C59655,Bamble,t,t,f,f,Koxvold 2017d
Hydal 4,138171,C59656,Bamble,t,t,f,f,Koxvold 2017e
Hydal 7,138148,C59660,Bamble,t,t,f,f,Koxvold 2017f
Hydal 8,138170,C59661,Bamble,t,t,f,f,Koxvold 2017g
Hegna vest 2,138262,C59652,Bamble,t,t,t,t,Fossum 2017
Hegna vest 1,138264,C59651,Bamble,t,t,t,t,Fossum 2017b
